  ,mean_fit_time     ,std_fit_time        ,mean_score_time      ,std_score_time        ,param_model__solver,param_model__max_iter,param_model__learning_rate,param_model__hidden_layer_sizes,param_model__alpha,params                                                                                                                                                        ,split0_test_score     ,split1_test_score   ,split2_test_score   ,mean_test_score     ,std_test_score      ,rank_test_score
0 ,60.74537547429403 ,1.4358915244574533  ,0.004666725794474284 ,0.0009414486116934817 ,adam               ,7718                 ,constant                  ,"(152,)"                       ,0.0001            ,"{'model__solver': 'adam', 'model__max_iter': 7718, 'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (152,), 'model__alpha': 0.0001}"         ,0.2574247706136963    ,0.17256711170497674 ,0.23571370500611222 ,0.22190186244159507 ,0.035993340264900885,1
1 ,38.1881647904714  ,0.5622648924129818  ,0.007660865783691406 ,0.001246810136077063  ,adam               ,4405                 ,adaptive                  ,"(156,)"                       ,0.005             ,"{'model__solver': 'adam', 'model__max_iter': 4405, 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (156,), 'model__alpha': 0.005}"          ,0.2761179501029376    ,0.17098832456837043 ,0.20086221625009815 ,0.21598949697380207 ,0.04423185509584608 ,2
2 ,69.6888169447581  ,2.9480328773221576  ,0.005997021993001302 ,0.0008166358131326408 ,adam               ,8055                 ,constant                  ,"(156,)"                       ,0.005             ,"{'model__solver': 'adam', 'model__max_iter': 8055, 'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (156,), 'model__alpha': 0.005}"          ,0.28354710310549813   ,0.1409421434335839  ,0.2208358640550352  ,0.21510837019803908 ,0.05835892830960553 ,3
3 ,32.544392585754395,0.08266189528760691 ,0.00532841682434082  ,0.00047137099690188665,adam               ,3175                 ,adaptive                  ,"(320,)"                       ,0.0001            ,"{'model__solver': 'adam', 'model__max_iter': 3175, 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (320,), 'model__alpha': 0.0001}"         ,0.24973120212269284   ,0.18073839277266346 ,0.20152112135702382 ,0.2106635720841267  ,0.02889856097311771 ,4
4 ,31.446351528167725,1.7329884092374608  ,0.004331429799397786 ,0.00047333745686533793,adam               ,3115                 ,adaptive                  ,"(320,)"                       ,0.05              ,"{'model__solver': 'adam', 'model__max_iter': 3115, 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (320,), 'model__alpha': 0.05}"           ,0.25380362723764405   ,0.176512441800465   ,0.19853827718392114 ,0.2096181154073434  ,0.03251208952440109 ,5
5 ,60.4717538356781  ,3.2381624230373562  ,0.004664818445841472 ,0.00047080839576569357,adam               ,9702                 ,adaptive                  ,"(156,)"                       ,0.005             ,"{'model__solver': 'adam', 'model__max_iter': 9702, 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (156,), 'model__alpha': 0.005}"          ,0.27842915201212903   ,0.10985458481727539 ,0.23154280502264823 ,0.20660884728401754 ,0.0710428174301335  ,6
6 ,25.191593408584595,1.9809106154004725  ,0.004996856053670247 ,0.0008161454483046196 ,adam               ,3194                 ,adaptive                  ,"(156,)"                       ,0.05              ,"{'model__solver': 'adam', 'model__max_iter': 3194, 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (156,), 'model__alpha': 0.05}"           ,0.2462836100069674    ,0.1574775913754184  ,0.19989720589486448 ,0.20121946909241675 ,0.036266959446760526,7
7 ,34.475619395573936,0.20084540964785166 ,0.0033326943715413413,0.0004721580981744986 ,adam               ,6964                 ,constant                  ,"(121,)"                       ,0.001             ,"{'model__solver': 'adam', 'model__max_iter': 6964, 'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (121,), 'model__alpha': 0.001}"          ,0.24963857668529166   ,0.1450198800112733  ,0.18650856422340134 ,0.19372234030665544 ,0.043013926794911915,8
8 ,24.784825563430786,0.3193815529181489  ,0.004664897918701172 ,0.0009407178400399051 ,adam               ,2718                 ,constant                  ,"(156,)"                       ,0.0001            ,"{'model__solver': 'adam', 'model__max_iter': 2718, 'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (156,), 'model__alpha': 0.0001}"         ,0.23169289143568506   ,0.14819611559506063 ,0.18792248078603546 ,0.18927049593892706 ,0.03410074048642922 ,9
9 ,21.228861093521118,0.15253344872783217 ,0.008329073588053385 ,0.0018848633843497357 ,adam               ,1389                 ,constant                  ,"(320,)"                       ,0.01              ,"{'model__solver': 'adam', 'model__max_iter': 1389, 'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (320,), 'model__alpha': 0.01}"           ,0.22328446086019438   ,0.14744783445318765 ,0.19609057391037976 ,0.1889409564079206  ,0.031370222069372095,10
10,16.577189048131306,0.04075610445795662 ,0.011328299840291342 ,0.0012440489297626139 ,adam               ,318                  ,constant                  ,"(264, 264)"                   ,0.0001            ,"{'model__solver': 'adam', 'model__max_iter': 318, 'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (264, 264), 'model__alpha': 0.0001}"      ,0.25228701691401634   ,0.12290337711488064 ,0.1769413207153142  ,0.18404390491473707 ,0.05305887666011875 ,11
11,21.169561783472698,0.4558266116621081  ,0.009660959243774414 ,0.0012455367348542727 ,adam               ,2282                 ,adaptive                  ,"(156,)"                       ,0.005             ,"{'model__solver': 'adam', 'model__max_iter': 2282, 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (156,), 'model__alpha': 0.005}"          ,0.22106701543423923   ,0.14692288260431596 ,0.1812507011879385  ,0.18308019974216458 ,0.030296846997614157,12
12,23.830039978027344,0.5527810302411401  ,0.007993936538696289 ,0.0008152696730353813 ,adam               ,2698                 ,constant                  ,"(152,)"                       ,0.005             ,"{'model__solver': 'adam', 'model__max_iter': 2698, 'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (152,), 'model__alpha': 0.005}"          ,0.18441649370431312   ,0.152827835085816   ,0.20609713244612082 ,0.18111382041208332 ,0.021872132169674284,13
