,NetworkitBinary,METIS,EdgeListSpaceOne,ThrillBinary
0,343835,1937379,1397102,1714418
0,61454976,232235424,326699603,289424385
0,737741767,155996169,849004345,1011581395
0,615696,3051109,2586612,3660531
0,551656,812310,132295,639464
0,25649047,25835512,38745522,5118178
0,883453,769081,607403,159741
0,2478321,2083531,1763829,423233
0,153219300,28275465,152948353,220888879
0,78164,474916,321265,379672
0,34273431,27421907,7740938,38697530
0,4976991,1121438,5807747,6943803
0,3792784,20996933,19276533,15241483
0,79684323,82325154,110369940,15628641
0,1121438,5807747,6943803,4976991
0,3252635,2249662,2445736,484064
0,51349,212594,251484,318070
0,1211992,7884137,5503028,6289845
0,46674261,255259707,193829929,243411816
0,636544730,4015150283,5882508628,3483775743
0,6965399,7835024,1505327,9922572
0,82798889,72263235,62132571,13525852
0,196310418,144159958,154912468,29629218
