hash,min_label,log_min_label,three_categories_label,parity_two_label,log_parity_two_label,timeout_count_label,timeout_factor_label,log10_parity_two_label,log10_min_label,four_families,all_families,all_families_threshold_10,3-means_label,4-means_label,5-means_label
a52d379e0f0cba6059097c7133014958,9.59,2.2607208888953467,easy,1780.9000000000003,7.48487413348196,3.0,0.1666666666666666,3.250639533911599,0.9818186071706636,other,flood-it-puzzle,flood-it-puzzle,0.0,3.0,0.0
7b46d0fe2bf7fade14e64e57c5d49e45,13.09,2.5718485799218085,easy,1887.642222222222,7.543083827806254,3.0,0.1666666666666666,3.275919682949915,1.1169396465507555,other,cellular-automata,cellular-automata,0.0,3.0,0.0
290a846ceaa8817ce814d6b96ed554ea,2184.91,7.689329916750012,medium,8822.318333333333,9.085039964046215,15.0,0.8333333333333334,3.9455827242557886,3.3394335523781207,antibandwidth,antibandwidth,antibandwidth,1.0,1.0,1.0
84475a8e292d5ae0e0732f318500d417,211.78,5.355548000002308,easy,1673.705,7.422795010908331,2.0,0.1111111111111111,3.223678913536476,2.325884943969,cryptography,cryptography,cryptography,0.0,3.0,0.0
d0a4e3b4b89dcdb4c4f79a2becfce170,,8.517193191416238,hard,10000.0,9.210340371976184,18.0,1.0,4.0,,bitvector,bitvector,bitvector,1.0,1.0,1.0
5bc33d4df3df92e77ab0e92a25f8b596,126.78,4.84245330085602,easy,2254.093333333333,7.720503101609935,3.0,0.1666666666666666,3.352971894546135,2.103050747435957,other,flood-it-puzzle,flood-it-puzzle,0.0,3.0,0.0
6eab13500990fd9c1c94f9cf2251303b,,8.517193191416238,hard,10000.0,9.210340371976184,18.0,1.0,4.0,,cryptography,cryptography,cryptography,1.0,1.0,1.0
08abc7d4b5c60faee452d15d89e62d53,445.56,6.099331917976989,medium,4591.8083333333325,8.432029197871618,6.0,0.3333333333333333,3.661983751882746,2.648906195273784,other,planning,planning,2.0,0.0,2.0
f386dcf0146780dbe494e0723f8d6145,,8.517193191416238,hard,10000.0,9.210340371976184,18.0,1.0,4.0,,cryptography,cryptography,cryptography,1.0,1.0,1.0
f3da6361fdbfb9af809bcdbf13de3deb,1.09,0.0861776962410524,easy,570.651111111111,6.346778009095078,1.0,0.0555555555555555,2.756370667214899,0.0374264979406236,other,prime-testing,prime-testing,0.0,3.0,0.0
5a2dbbe1331ef5f53d8eb11ed5db7b88,735.53,6.600591327788859,easy,3040.0961111111114,8.019644409397584,3.0,0.1666666666666666,3.482887313827634,2.86660039095716,cryptography,cryptography,cryptography,0.0,0.0,4.0
1d1a4ec3c2519498378412a6566a8495,87.18,4.467974946810247,easy,2659.739444444445,7.885983443761641,4.0,0.2222222222222222,3.424839094006084,1.9404168646816653,antibandwidth,antibandwidth,antibandwidth,0.0,0.0,4.0
f70ef02944377b624faa46b14132983c,0.0,-inf,medium,4536.165,8.419837220407386,8.0,0.4444444444444444,3.656688843346541,-inf,other,battleship,other ,2.0,0.0,2.0
c2b3fc6b4612d45f1653b27ee679aaec,643.76,6.467325985837878,medium,7455.613333333332,8.916722495220947,12.0,0.6666666666666666,3.872483376337052,2.8087239883188984,cryptography,cryptography,cryptography,2.0,2.0,3.0
86f1d4b3e7609f8a9ce8ac2a0a7aaa96,41.59,3.727859753754821,medium,5040.09611111111,8.525180430548494,8.0,0.4444444444444444,3.702438818216799,1.6189889203649337,other,tensors,tensors,2.0,0.0,2.0
7e2cceaad4188bcf9a915ebff0835157,2377.66,7.773872089736658,medium,9198.17,9.12675983020783,16.0,0.8888888888888888,3.96370143191552,3.3761497515943315,other,tensors,tensors,1.0,1.0,1.0
25ba6d2b7503d699ee95bf4bcd0864c5,,8.517193191416238,hard,10000.0,9.210340371976184,18.0,1.0,4.0,,other,prime-testing,prime-testing,1.0,1.0,1.0
16b9e9e007133b818ec1f0868613d534,262.68,5.570936561322772,easy,3060.455555555556,8.026319058230298,4.0,0.2222222222222222,3.485786076984324,2.4194270076155564,other,lam-discrete-geometry,lam-discrete-geometry,0.0,0.0,4.0
b6af217d5640bef0c0ca834a709c05b1,,8.517193191416238,hard,10000.0,9.210340371976184,18.0,1.0,4.0,,other,petrinet-concurrency,petrinet-concurrency,1.0,1.0,1.0
9eedc445557e743218e45e2c09f36f37,359.17,5.883795814009186,medium,6556.951666666666,8.788281088979272,10.0,0.5555555555555556,3.8167019823583983,2.5553000546696416,antibandwidth,antibandwidth,antibandwidth,2.0,2.0,3.0
f6e17b4abfa8ea9b89899525baf5e253,463.17,6.138094157321945,medium,7555.407777777779,8.930018847807219,12.0,0.6666666666666666,3.87825790889471,2.665740421927511,cryptography,cryptography,cryptography,1.0,2.0,3.0
cc5c7c695cbb6f78c1af80b3e5471db3,384.68,5.952411819844281,medium,5639.829999999999,8.637609202193858,7.0,0.3888888888888889,3.751266013349542,2.5850996073740644,other,miter,other ,2.0,2.0,2.0
67fb9f8a11855920f390fb4675479758,72.49,4.283448621312786,medium,5875.388333333332,8.678527436118678,9.0,0.5,3.7690365765523177,1.8602780997522348,cryptography,cryptography,cryptography,2.0,2.0,2.0
333aeb46000bbf119635a71cf39389c9,231.28,5.443629097708091,medium,5247.5088888888895,8.56550874562168,8.0,0.4444444444444444,3.71995318291754,2.3641380786626014,bitvector,bitvector,bitvector,2.0,2.0,2.0
5559b178ec41efd2d5e01c12acfd304b,,8.517193191416238,hard,10000.0,9.210340371976184,18.0,1.0,4.0,,other,sliding-puzzle,sliding-puzzle,1.0,1.0,1.0
3376b5ad61728464669c5a064691ec44,0.09,-2.407945608651872,easy,557.9211111111111,6.324217574449431,1.0,0.0555555555555555,2.746572794938956,-1.0457574905606752,cryptography,cryptography,cryptography,0.0,3.0,0.0
1075d1f642644dd5bfde5fd2b14b03e0,674.35,6.5137492639628665,medium,4041.375,8.304340259585105,5.0,0.2777777777777778,3.606529150584829,2.8288853618404413,bitvector,bitvector,bitvector,2.0,0.0,4.0
1e0239578a8ee4956e4779880b0a9300,945.25,6.851449442771043,medium,7603.169444444444,8.936320471504422,12.0,0.6666666666666666,3.880994669293436,2.975546686034573,antibandwidth,antibandwidth,antibandwidth,1.0,2.0,3.0
8cd22506ff029d9a1a577ad414ffb1bb,1040.66,6.947610406236844,medium,9194.818333333336,9.126395379728873,16.0,0.8888888888888888,3.9635431530835823,3.017308861842271,bitvector,bitvector,bitvector,1.0,1.0,1.0
fca7a5a04aaed5f0eacccc4139dc894a,346.38,5.847536438300897,medium,5318.184444444445,8.578887254248617,9.0,0.5,3.7257633953903135,2.5395528078822744,cryptography,cryptography,cryptography,2.0,2.0,2.0
8833e4051c5a45aa3d704469f9f20908,1.5,0.4054651081081644,easy,1116.4005555555557,7.017864999293319,1.0,0.0555555555555555,3.047820043935056,0.1760912590556812,other,relational-dependencies,relational-dependencies,0.0,3.0,0.0
2050e97004fe2b1ddba6bbf55638d7f1,,8.517193191416238,hard,10000.0,9.210340371976184,18.0,1.0,4.0,,bitvector,bitvector,bitvector,1.0,1.0,1.0
bf02f1c4227febd1b700e5915ae71e16,6.49,1.8702625307159984,easy,837.9205555555554,6.7309232935483765,1.0,0.0555555555555555,2.923202844502121,0.8122446968003693,cryptography,cryptography,cryptography,0.0,3.0,0.0
3a27400ec77af1339683d6602af6d81b,1.49,0.3987761199573678,easy,637.2633333333333,6.457182966275208,1.0,0.0555555555555555,2.804318930892994,0.173186268412274,other,fermat,other ,0.0,3.0,0.0
dae02301d9adb7868c542b83239e21c4,2939.51,7.9859981797756285,medium,8135.498888888887,9.003992344003725,13.0,0.7222222222222222,3.910384190099944,3.468274941965969,other,software-verification,software-verification,1.0,1.0,3.0
3f266eb6ee4251b947c582f7c6a59d67,873.79,6.772840072185427,medium,5690.2827777777775,8.646515223210248,8.0,0.4444444444444444,3.755133849132674,2.941407070163353,bitvector,bitvector,bitvector,2.0,2.0,2.0
39ed2761dddacaf751d15799f49582ca,735.45,6.600482556765352,medium,4908.648888888888,8.49875400754183,6.0,0.3333333333333333,3.690961968528564,2.86655315230186,other,hypertree-decomposition,hypertree-decomposition,2.0,0.0,2.0
b6f64d7d910d1f47bbfec7422aefc436,588.77,6.378035615029659,medium,6942.12,8.84536248235703,9.0,0.5,3.841492116521708,2.769945672989794,cryptography,cryptography,cryptography,2.0,2.0,3.0
606bd8b9c178c8445d8c3fc413d46885,119.08,4.779795536147575,easy,3834.650555555555,8.251833589846711,4.0,0.2222222222222222,3.583725793654328,2.075838825974687,other,crafted-cec,other ,2.0,0.0,4.0
ab8a0d70916ef1a61c8e6d29df7f9f02,2063.5,7.632158849192637,medium,6906.693888888889,8.840246349138983,10.0,0.5555555555555556,3.839270208096429,3.3146044732134348,other,software-verification,software-verification,2.0,2.0,3.0
a730eba7f8e488b74cbc009407f49f50,,8.517193191416238,hard,10000.0,9.210340371976184,18.0,1.0,4.0,,cryptography,cryptography,cryptography,1.0,1.0,1.0
1efb4d530a9abb98f9c1baee64dc4c52,0.29,-1.2378743560016174,easy,1114.2138888888887,7.0159044028553605,2.0,0.1111111111111111,3.0469685677208123,-0.5376020021010439,other,maximum-constraint-partition,maximum-constraint-partition,0.0,3.0,0.0
08dd14d435d895ced7f4aa229e0a7c0e,147.66,4.994912333631019,easy,2566.159444444444,7.850165680596829,4.0,0.2222222222222222,3.409283637109488,2.169262864086446,bitvector,bitvector,bitvector,0.0,0.0,4.0
09afcece2714c5f1a477c6166933cab5,,8.517193191416238,hard,10000.0,9.210340371976184,18.0,1.0,4.0,,bitvector,bitvector,bitvector,1.0,1.0,1.0
9dd246543ae101f829b5cfc226473675,51.28,3.937300812612415,medium,5876.085555555555,8.678646097357197,10.0,0.5555555555555556,3.7690881104734224,1.709948016510761,other,petrinet-concurrency,petrinet-concurrency,2.0,2.0,2.0
