hash,cadical_runtimes,cadical_elimfalse_runtimes,cadical_pripro_runtimes,cadical_stability_runtimes,candy_runtimes,glucose_chanseok_runtimes,glucose_runtimes,glucose_syrup_runtimes,glucose_var_decay099_runtimes,kissat_runtimes,kissat_sweep_runtimes,lingeling_runtimes,lstech_maple_runtimes,march_nh_runtimes,minisat__runtimes,relaxed__runtimes,slime_runtimes,yalsat_runtimes
000a41cdca43be89ed62ea3abf2d0b64,68.09,39.58,14.78,200.29,89.37,24.59,7.09,106.99,4.39,144.77,28.58,33.50,22.57,timeout,64.10,75.55,142.89,timeout
0041051c73dcdd885d412a38e8b09fba,1488.42,1794.87,1455.23,1485.53,2371.55,499.27,744.09,911.14,712.96,316.39,216.87,1471.91,timeout,timeout,2602.10,timeout,timeout,timeout
004b0f451f7d96f6a572e9e76360f51a,3054.79,637.89,1213.47,timeout,137.28,722.95,4130.43,236.86,143.48,601.65,915.23,timeout,466.42,timeout,4037.24,199.55,447.77,timeout
00d3338cd6cdfa099ff29f036c77d93d,timeout,2877.61,timeout,timeout,timeout,3146.32,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,4250.07,timeout,timeout
0107f34364dfff8ab062193b2c71b4de,257.27,203.47,322.98,280.87,226.88,83.79,49.37,215.93,52.69,76.69,56.88,126.39,196.95,timeout,165.36,243.73,213.34,timeout
01135f7a79d555bd0406f00fac22cbe2,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
01813075a2ddb68ae1fc655ca003437e,4403.05,4515.05,2519.21,timeout,timeout,4014.08,2968.26,timeout,timeout,timeout,timeout,timeout,1206.44,560.35,timeout,1163.44,1322.03,timeout
01cf0326d2ab46b71fe4e2eac97b2b18,0.00,0.00,0.00,0.00,8.09,2.60,2.59,2.67,2.60,0.00,0.00,2.68,2.66,0.20,2.37,2.76,2.75,0.00
02223564bd2f5c20768e63cf28c785e3,92.08,18.18,246.90,1.80,629.65,452.68,46.49,9.17,1046.13,2.49,342.76,154.18,28.87,timeout,367.58,0.00,94.46,16.89
02404a08ea36dd43362bbddc578c839d,2648.11,2865.01,1156.63,2960.56,1346.92,748.18,691.21,1368.30,700.25,1496.93,1307.13,1683.55,1881.82,timeout,2875.26,1548.50,1673.99,timeout
